                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0824,                0.70648,                0.95923,                0.88753,                0.82011,                0.90772,                0.58728,                 1.3254,                0.79635,                 1.0807,             0.00066429,             0.00066429,             0.00066429
                      2,                0.99075,                0.59715,                0.92879,                0.87915,                0.81228,                 0.8982,                0.59247,                 1.3348,                0.78255,                 1.0841,               0.001287,               0.001287,               0.001287
                      3,                0.94103,                0.55891,                0.91619,                0.87437,                0.79146,                0.88217,                0.58254,                 1.3205,                0.84343,                 1.0787,              0.0018658,              0.0018658,              0.0018658
                      4,                 0.9226,                 0.5441,                0.91232,                0.87942,                0.78247,                0.87021,                0.57524,                 1.3546,                0.85547,                 1.0986,               0.001802,               0.001802,               0.001802
                      5,                0.87986,                0.51446,                0.90197,                 0.8826,                  0.834,                0.91078,                0.61697,                 1.2929,                0.71775,                 1.0585,               0.001802,               0.001802,               0.001802
                      6,                0.84023,                0.49069,                0.89178,                 0.8774,                0.83148,                0.90254,                0.60755,                  1.282,                0.71916,                 1.0782,               0.001736,               0.001736,               0.001736
                      7,                0.82437,                0.47986,                0.88929,                0.89451,                0.78468,                0.87606,                0.58875,                 1.3295,                0.83131,                  1.088,                0.00167,                0.00167,                0.00167
                      8,                0.78825,                0.45588,                0.88163,                0.88879,                 0.8048,                0.89358,                 0.6018,                 1.2534,                0.71463,                 1.0571,               0.001604,               0.001604,               0.001604
                      9,                0.78268,                0.45183,                0.87866,                0.89149,                0.81565,                0.90397,                0.62239,                 1.2543,                0.74178,                 1.0556,               0.001538,               0.001538,               0.001538
                     10,                0.75722,                0.43468,                0.87343,                0.89427,                0.81062,                0.89699,                0.62163,                  1.253,                 0.7666,                 1.0657,               0.001472,               0.001472,               0.001472
                     11,                0.73635,                0.42481,                0.87007,                 0.8875,                0.82042,                0.89911,                0.62029,                 1.2763,                0.72553,                 1.0612,               0.001406,               0.001406,               0.001406
                     12,                0.72662,                0.41506,                0.86403,                0.89223,                0.82866,                0.90638,                0.63463,                 1.2291,                0.70968,                 1.0473,                0.00134,                0.00134,                0.00134
                     13,                0.71172,                0.40582,                0.86155,                0.89748,                0.82185,                0.89063,                0.61596,                 1.2359,                0.74003,                 1.0482,               0.001274,               0.001274,               0.001274
                     14,                 0.7018,                0.39913,                 0.8625,                0.89378,                 0.8217,                0.90141,                0.62806,                 1.2273,                0.70226,                  1.056,               0.001208,               0.001208,               0.001208
                     15,                0.69372,                0.39691,                0.86009,                0.89714,                0.80531,                0.90156,                0.63436,                 1.2398,                0.74466,                 1.0614,               0.001142,               0.001142,               0.001142
                     16,                0.67529,                0.38559,                0.85458,                0.89615,                0.80933,                0.89773,                0.63216,                 1.2358,                0.75408,                 1.0518,               0.001076,               0.001076,               0.001076
                     17,                0.66877,                0.38175,                0.85464,                0.89468,                0.80829,                0.90366,                0.63369,                 1.2343,                0.76461,                 1.0494,                0.00101,                0.00101,                0.00101
                     18,                0.65769,                0.37422,                0.85303,                0.89532,                0.81746,                0.90071,                0.62748,                 1.2623,                0.74521,                 1.0606,               0.000944,               0.000944,               0.000944
                     19,                0.65019,                0.36943,                0.84932,                0.89373,                 0.8274,                0.90928,                0.63602,                 1.2405,                0.70782,                 1.0584,               0.000878,               0.000878,               0.000878
                     20,                0.63935,                0.36274,                0.84862,                0.89516,                0.81262,                0.89662,                0.62619,                 1.2635,                0.75583,                 1.0677,               0.000812,               0.000812,               0.000812
                     21,                0.62627,                0.35396,                0.83642,                0.89914,                0.80928,                    0.9,                0.62012,                 1.2758,                0.72644,                 1.0703,               0.000746,               0.000746,               0.000746
                     22,                  0.614,                0.34715,                0.83404,                0.89617,                0.82778,                0.90835,                0.64332,                 1.2288,                 0.7148,                   1.06,                0.00068,                0.00068,                0.00068
                     23,                0.59516,                0.33501,                0.83031,                0.90055,                0.81613,                0.90641,                0.64133,                 1.2274,                0.74223,                 1.0569,               0.000614,               0.000614,               0.000614
                     24,                0.58465,                0.32945,                0.82649,                0.90033,                0.82047,                0.90231,                0.64189,                 1.2322,                0.74401,                 1.0575,               0.000548,               0.000548,               0.000548
                     25,                0.57113,                0.32153,                0.82531,                0.90257,                0.80756,                 0.8955,                0.63266,                 1.2389,                0.76148,                 1.0633,               0.000482,               0.000482,               0.000482
                     26,                0.56101,                0.31419,                0.82417,                0.89824,                0.82092,                0.90501,                0.64681,                 1.2268,                0.74822,                 1.0614,               0.000416,               0.000416,               0.000416
                     27,                0.54867,                0.30913,                0.82103,                 0.8999,                0.81733,                0.90229,                0.64011,                 1.2357,                0.74936,                 1.0603,                0.00035,                0.00035,                0.00035
                     28,                0.53787,                0.30084,                0.81848,                0.90375,                0.82017,                0.90342,                0.63881,                 1.2304,                0.72103,                 1.0578,               0.000284,               0.000284,               0.000284
                     29,                0.52952,                0.29754,                0.81557,                0.89492,                0.81256,                0.89909,                0.64134,                 1.2246,                0.77501,                 1.0565,               0.000218,               0.000218,               0.000218
                     30,                0.51628,                  0.289,                0.81444,                0.89575,                0.82291,                0.90605,                0.64938,                 1.2062,                0.74291,                  1.051,               0.000152,               0.000152,               0.000152
